size,run,sequential_time,parallel_time,builtin_time
7000000,13,1.223574,1.448329,1.265216
7000000,14,1.147655,1.4568,1.336164
7000000,15,1.134693,1.430692,1.492432
7000000,16,1.250166,1.359744,1.686101
7000000,17,1.58438,1.437455,1.95798
7000000,18,1.565638,2.199491,1.995087
7000000,19,1.210335,1.155903,1.636743
7000000,20,1.796021,1.483662,1.320129
8000000,1,1.635646,2.264186,2.214377
8000000,2,1.361659,1.322444,2.291272
8000000,3,1.703381,2.226043,2.050192
8000000,4,2.071206,1.386592,1.260179
8000000,5,2.21886,1.592604,1.709061
8000000,6,1.410077,2.175817,1.986524
8000000,7,1.315999,1.408238,2.528752
8000000,8,1.580086,1.386491,1.621367
8000000,9,1.594161,1.639655,1.552683
8000000,10,1.400182,1.445906,2.15267
8000000,11,1.250257,2.137119,2.185379
8000000,12,1.943679,1.472764,2.086219
8000000,13,1.548338,1.440279,1.355022
8000000,14,1.842227,1.396288,1.37489
8000000,15,1.574963,1.59429,1.798808
8000000,16,1.813719,1.132678,1.259304
8000000,17,2.053378,1.57531,1.697224
8000000,18,1.215694,1.319294,1.986238
8000000,19,1.562716,1.205651,1.57746
8000000,20,2.067618,1.313585,1.505864
9000000,1,1.722664,1.855848,1.850132
9000000,2,1.420739,1.982713,1.850089
9000000,3,1.400723,1.909221,1.672941
9000000,4,1.58104,1.325165,1.451466
9000000,5,1.488438,2.044933,2.020258
9000000,6,1.423213,1.666862,2.296428
9000000,7,1.413822,1.398574,2.389851
9000000,8,1.406297,1.311018,2.076612
9000000,9,1.819421,1.378353,1.755753
9000000,10,2.125043,1.313518,1.836619
9000000,11,1.39686,1.610247,2.116231
9000000,12,1.678677,1.516118,2.062969
9000000,13,1.815018,1.260805,2.244346
9000000,14,1.815722,1.562013,1.783782
9000000,15,1.646843,1.5195,1.822794
9000000,16,1.823558,1.686242,1.866195
9000000,17,1.838199,1.68085,1.953732
9000000,18,1.9837,2.213508,2.336447
9000000,19,2.667393,1.908799,2.597757
9000000,20,1.853836,1.848197,1.820052
10000000,1,1.747958,1.872604,1.878861
10000000,2,1.364667,2.244143,1.999664
10000000,3,1.627715,2.253531,2.14198
10000000,4,1.625589,2.36991,1.952457
10000000,5,1.607369,1.775265,2.913458
10000000,6,1.650981,1.697447,2.94082
10000000,7,1.891782,2.33908,2.58316
10000000,8,1.617269,1.467488,2.74935
10000000,9,1.631811,1.504532,2.659913
10000000,10,1.982744,1.402356,2.431412
10000000,11,1.964811,1.410088,2.352418
10000000,12,1.968319,1.792331,2.064142
10000000,13,1.939733,1.792441,2.007937
10000000,14,1.927111,1.849028,1.967205
10000000,15,1.916623,1.794404,1.944328
10000000,16,1.917488,1.738445,1.923444
10000000,17,2.023741,1.844741,2.043479
10000000,18,1.943078,1.823786,1.900319
10000000,19,2.01028,1.936993,2.088624
10000000,20,2.23315,2.958179,3.602698
