size,run,sequential_time,parallel_time,builtin_time
7000000,13,1.257331,1.048699,1.804427
7000000,14,1.145484,1.381305,1.109624
7000000,15,1.684526,1.287158,1.54426
7000000,16,1.110172,1.472315,1.444866
7000000,17,1.500011,1.086226,1.374682
7000000,18,1.484884,1.349688,1.69862
7000000,19,1.191912,1.048074,1.700377
7000000,20,1.134833,1.460917,1.086949
8000000,1,1.843521,1.381136,1.599576
8000000,2,1.200309,2.016886,1.44758
8000000,3,1.34843,1.352435,1.909554
8000000,4,1.590566,1.176589,1.72913
8000000,5,1.449583,1.908892,1.380584
8000000,6,1.797449,1.167845,1.621476
8000000,7,1.610582,1.625141,1.287835
8000000,8,1.661848,1.398722,1.68994
8000000,9,2.078165,1.162848,1.270073
8000000,10,1.773842,1.833136,1.276707
8000000,11,1.244985,1.396018,2.277009
8000000,12,1.729797,1.4424,1.922584
8000000,13,1.603983,1.258214,2.092414
8000000,14,1.205319,1.6016,1.502752
8000000,15,1.636032,1.147342,1.667384
8000000,16,1.859229,1.339335,1.389895
8000000,17,1.434024,1.909171,1.507327
8000000,18,1.336738,1.317823,1.905068
8000000,19,1.63866,1.255414,1.727696
8000000,20,1.515665,1.621309,1.669448
9000000,1,1.85275,1.625919,1.757851
9000000,2,1.871658,1.621907,2.563632
9000000,3,1.439664,1.357987,2.441857
9000000,4,1.67044,1.469829,1.833966
9000000,5,1.777364,1.67268,1.850603
9000000,6,1.809855,1.672776,1.825441
9000000,7,1.842275,1.548651,1.777881
9000000,8,1.599643,1.556208,1.87357
9000000,9,1.801399,1.703492,1.812067
9000000,10,1.811822,1.690556,1.749999
9000000,11,1.803007,1.526558,1.731144
9000000,12,1.696067,1.610562,1.910805
9000000,13,1.800924,1.688745,1.864565
9000000,14,1.798433,1.637774,1.7639
9000000,15,1.695836,1.452889,1.767336
9000000,16,1.709244,1.734292,1.920475
9000000,17,1.718061,1.701987,1.805272
9000000,18,1.818685,1.517216,1.659589
9000000,19,1.824018,1.528279,1.839272
9000000,20,1.79859,1.720082,1.873963
10000000,1,1.974017,1.869675,2.065562
10000000,2,2.008282,1.607832,2.252434
10000000,3,1.910172,1.589448,2.127354
10000000,4,1.987743,1.629829,2.279007
10000000,5,2.057768,2.174519,2.998778
10000000,6,2.484909,1.726157,2.140615
10000000,7,2.005868,1.749758,2.096003
10000000,8,1.985931,1.814169,2.014136
10000000,9,1.918908,1.805495,2.020535
10000000,10,1.992325,1.846352,2.026947
10000000,11,2.002809,1.663784,2.341856
10000000,12,2.118787,1.453751,2.371169
10000000,13,1.92173,1.439172,2.245862
10000000,14,1.926763,1.726395,2.024887
10000000,15,1.900448,1.755256,2.092563
10000000,16,1.861351,1.791416,2.079301
10000000,17,1.771153,1.790897,1.967318
10000000,18,1.812088,1.818913,2.088045
10000000,19,1.691216,1.87224,1.985074
10000000,20,1.835447,1.841964,2.152692
